,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,0.07464463137786911,0.48502454334110934,0.7418438315560202,0.6538094983195701,0.513234546308462,
ENSG00000000419,0.09240535935410847,0.48599222531183356,0.4457120483141754,1.0903726456352496,0.27554902642735446,
ENSG00000000457,0.06465530411487513,0.4340518112683863,0.589001197447459,0.7369285718762996,0.46116578769218985,
ENSG00000000460,0.07790812055015081,0.5698349097131838,0.4845775133648998,1.175941710039861,0.23961816980099615,
ENSG00000000938,0.01285497915844974,0.40134024716808453,1.921114507085655,0.2089101121707319,0.8345184099654763,
ENSG00000000971,0.026150788788640376,0.4327575773143914,1.4464867781334354,0.2991783843837323,0.7648039411649986,
ENSG00000001036,0.08176886413224099,0.3790531214997095,0.6022299587859039,0.6294159165775826,0.5290768004254498,
ENSG00000001084,0.02484121197129696,0.4071412238949175,1.2075489958655798,0.3371633161792129,0.7359937893113253,
ENSG00000001167,0.02628305124016552,0.4359607965450598,1.0442127082718897,0.41750190654789976,0.6763113300660524,
ENSG00000001460,0.06932938041558898,0.5029984380204437,0.49673219437373056,1.0126149335953825,0.3112441239867484,
ENSG00000001461,0.04606327288448174,0.4036937598666416,0.7464832570091583,0.5407941250873747,0.5886494926463713,
ENSG00000001497,0.11149890725711535,0.26226562252213703,0.554549666730935,0.4729344155379091,0.6362599705337126,
ENSG00000001561,0.03468665708707057,0.4354328518215944,1.0897779830761543,0.3995610652662325,0.6894798382635225,
ENSG00000001617,0.00336643609579915,0.42785859551589595,3.714154989043675,0.11519675317212906,0.9082891721388275,
ENSG00000001626,0.08878628137786909,0.5357486383598805,0.6082206491945896,0.8808458559723726,0.378401256289431,
ENSG00000001629,0.040167222021335686,0.42696579949064845,0.6864462079335868,0.6219945489624689,0.5339454523506,
ENSG00000001630,0.07921938249809486,0.579073798343207,0.49798211944936516,1.1628405433181166,0.24489420423180663,
ENSG00000001631,0.06359817430278049,0.44139385764530126,0.5568880130042938,0.7926079343386728,0.428006284555981,
ENSG00000002016,0.0661286546258031,0.499011706923992,0.6105979496085003,0.8172508722702809,0.41378507569710987,
ENSG00000002330,0.025624656841925008,0.4416881023884989,1.0239485660713872,0.4313577039158679,0.6662082989748319,
ENSG00000002549,0.029543520768740866,0.3982595792118313,0.9190646142006208,0.4333314252972599,0.6647740112155827,
ENSG00000002586,0.11043413463321528,0.37785777360792516,0.44351050553190907,0.8519702890797467,0.3942305825463862,
ENSG00000002587,0.008253170444161958,0.44462574893967355,1.823383067891771,0.24384659305505013,0.807349633238045,
ENSG00000002726,0.0597642206101772,0.5376146511286322,0.6133865103921077,0.8764696354097544,0.38077477659730263,
ENSG00000002745,0.008530823951719993,0.4295022992279411,1.7930648598652537,0.23953528332500898,0.8106905404917633,
ENSG00000002746,0.0014578642798835036,0.4236775767969292,4.712523689050578,0.08990460414688899,0.9283630223914678,
ENSG00000002822,0.004358088606151641,0.4254202156615954,4.203393864042604,0.1012087445101917,0.9193847552494043,
ENSG00000002834,0.11123753447932688,0.516274126811016,0.4437640030897767,1.1633979394821936,0.24466808516602667,
ENSG00000002919,0.017280317959344826,0.41389029997366195,1.4528720429266908,0.28487732418604056,0.7757381291476027,
ENSG00000002933,0.34790889499881417,1.066622612346307,0.2361721897519712,4.516292174224567,6.293182019237596e-06,2.413149250649471e-05
ENSG00000003056,0.06674836559588267,0.3980674599419466,0.6078860967306579,0.6548388951200546,0.5125714854198625,
ENSG00000003096,0.013734295638426562,0.430736898840063,1.8543352350666145,0.23228642302349897,0.8163155569341989,
ENSG00000003137,0.00514402269512628,0.41633088990814243,3.2697535668608753,0.12732791061922158,0.89868087060695,
ENSG00000003147,0.11976777582423032,0.6584945529747916,0.3909261141982504,1.6844475952324054,0.09209519912186134,
ENSG00000003249,0.03415423956311475,0.5096413543667996,0.8420276558541504,0.6052548877979795,0.5450096509502158,
ENSG00000003393,0.029422562790082558,0.43101410809898827,1.136862790843912,0.37912588183050605,0.7045943875452487,
ENSG00000003400,0.08326359657031954,0.14173030900839415,0.5400285571806613,0.26244965590028907,0.7929747940233982,
ENSG00000003402,0.2093593847392257,-0.6255607600689462,0.26031729045716984,-2.4030703414680405,0.01625805978338017,0.032634819606761165
ENSG00000003436,0.3128626623861778,0.4892217302729173,0.526190378464468,0.9297428274925268,0.3525042543322352,0.4262795139831904
ENSG00000003509,0.0371063365071673,0.4098458259147527,0.9707393111106152,0.4221996793823579,0.6728792755122679,
ENSG00000003756,0.08454444587448559,0.3307039487704472,0.5491019823406708,0.6022632578391853,0.5469989140667553,
ENSG00000003987,0.07742931058997049,0.5542768446809384,0.5112945854359325,1.0840655474736915,0.2783357371799139,
ENSG00000003989,0.019686345477883994,0.42383808360635117,3.204978908759581,0.13224364205578773,0.894791582856374,
ENSG00000004059,0.06685792065926495,0.39282831156688486,0.6239861270709105,0.6295465468293069,0.5289913055735107,
ENSG00000004139,0.0595457549530462,0.6207405885767129,0.6342481479017851,0.9787030370214597,0.3277267310504123,
ENSG00000004142,0.08553179318118737,0.5510319258557579,0.4261360837875692,1.2930891018617654,0.19598024394002622,
ENSG00000004399,0.010469497162028153,0.41570108331847205,1.9460345098218232,0.21361444579753788,0.8308477332974386,
ENSG00000004455,0.08575263286046027,0.4105381001205544,0.5224428990722421,0.7858047278460306,0.4319818963534592,
ENSG00000004468,0.030023885959879055,0.22551643227111215,1.0340801275511322,0.21808409838140036,0.827363586881063,
ENSG00000004478,0.11375247505105088,0.31368384354634615,0.510056811585747,0.6149978520453734,0.5385561389439861,
ENSG00000004487,0.2337841726633115,0.7227652066399093,0.28440590442615604,2.5413157581880306,0.011043613343399745,0.023408020644452323
ENSG00000004534,0.5908027250075072,0.08998060556459388,0.1558544772963091,0.5773373157161444,0.563711610390814,0.616313004828526
ENSG00000004660,0.006248801243190613,0.3998435362904085,2.292796837423235,0.17439117577455035,0.8615580487757296,
ENSG00000004700,0.14920398274384092,0.6840435983062308,0.3658394087572107,1.8697919959743765,0.061512708293706767,0.10103606058522396
ENSG00000004766,0.021881243773411246,0.4270196196006758,1.1107549198891984,0.38444089866671266,0.7006516923750765,
ENSG00000004776,0.06565995612244964,0.42722243965034695,0.8743159091344695,0.4886362414167626,0.6250992503579935,
ENSG00000004777,0.002197093156098435,0.42495542078206977,4.317409500781512,0.09842833317181214,0.9215921772925024,
ENSG00000004779,0.04292965237047745,0.41022068687960445,0.8928137643262252,0.45946949215011645,0.6458970551824548,
ENSG00000004799,0.10875096184809611,0.5135358500432582,0.5269443569858085,0.9745542261440111,0.3297814285394649,
ENSG00000004846,0.00335860196151941,0.4237442173784945,4.608645099239412,0.09194550855053411,0.9267413339780036,
ENSG00000004864,0.03748939493763795,0.44474771010460623,1.213534397855675,0.36648957861472986,0.713999787577708,
ENSG00000004866,0.01575272735733662,0.41126316914763467,1.9274989896852228,0.21336621775080541,0.831041328123761,
ENSG00000004897,0.08118616150270173,0.3153050276351797,0.5645654316315075,0.5584915582308971,0.5765087674235732,
ENSG00000004961,0.02473539518238826,0.42181125252885476,1.2613009147058625,0.3344255503273157,0.7380584618250419,
ENSG00000004975,0.021554877995239145,0.46875372073255345,1.064169250399487,0.440487939824031,0.6595837452072454,
ENSG00000005001,0.003994451413893054,0.4360579308536743,3.066393546691246,0.14220546848078164,0.8869177124669267,
ENSG00000005007,0.024578368399704252,0.4498456404566853,0.9984132707440868,0.45056055807574463,0.6523062989710755,
ENSG00000005020,0.06352289464345294,0.4065409881804491,0.6671011880584993,0.6094142769609321,0.5422498770046962,
ENSG00000005022,0.17356116706874522,0.4755832574915179,0.29700518912042917,1.601262452349542,0.10931880160084255,0.16305046151073332
ENSG00000005059,0.07567295841425946,0.5398179202216884,0.5070120528754016,1.0647043145428907,0.2870097570094836,
ENSG00000005073,0.11258757698535134,0.7067087697507312,0.44730479106346616,1.579926671633748,0.11412366034819585,
ENSG00000005075,0.008143822468484186,0.4166123937933659,1.9757629167764716,0.2108615311360758,0.8329953228851841,
ENSG00000005100,0.010271160700659122,0.417921664334621,2.165413593783108,0.19299854103367234,0.8469601106959719,
ENSG00000005102,0.005703698933769046,0.41989983140076004,2.309952867276641,0.1817785277566326,0.8557565361293562,
ENSG00000005108,0.021506260703067766,0.42675843956025983,2.524255252808765,0.16906310844967096,0.86574700236592,
ENSG00000005156,0.33268158895366307,0.9472595897934565,0.21167237972006867,4.475121369383116,7.63679194753516e-06,2.9019809400633605e-05
ENSG00000005175,0.03815116946641698,0.3781996989204185,0.871143062163402,0.4341418939630823,0.6641854049031051,
ENSG00000005187,0.025644374546703534,0.4778233334553371,0.9328527645656964,0.5122173097464046,0.6084989298633039,
ENSG00000005189,0.0034727963288049093,0.4279797225013411,3.562557185191447,0.12013273057912811,0.9043780048847002,
ENSG00000005194,0.007127093251264704,0.4086146146726607,2.4185643699153525,0.16894924102721393,0.8658365671236774,
ENSG00000005206,0.04364221988843654,0.45956164377437775,0.6469878823093631,0.7103095070869259,0.477512225558932,
ENSG00000005238,0.015298733234600737,0.44098594745494124,1.3708280966031055,0.3216931054650097,0.7476852014830535,
ENSG00000005249,0.010474950071411148,0.42975648065184463,1.85422317276303,0.2317717127930466,0.8167153287707455,
ENSG00000005302,0.03489631961701815,0.3944641527084786,0.949128591199787,0.415606648420357,0.6776978609144393,
ENSG00000005339,0.10413172450328378,0.4014691397067777,0.4440627927762511,0.904081914174388,0.3659519676880125,
ENSG00000005379,0.010383195027368383,0.3940192351723297,2.123744070999561,0.18553046977401594,0.8528129836731129,
ENSG00000005421,0.0026267709613384464,0.4291440567337135,4.1888764519283175,0.10244848747834524,0.9184006986611106,
ENSG00000005436,0.08255099105119881,0.5026351554417132,0.5309343829929316,0.946699199641785,0.343792078407265,
ENSG00000005448,0.040748309466796556,0.4934920653367788,0.7849890193743891,0.6286611062790102,0.5295709461022818,
ENSG00000005469,0.01572013345919149,0.42512090394755,2.269792738878562,0.18729503212596835,0.8514293178570269,
