gene,log2FoldChange,stat,pvalue,padj
ENSG00000114126,1.2972819,1.0,1.9241432,0.19453422996242553
ENSG00000158467,1.2954899,1.0,1.2931588,0.1951512970957373
ENSG00000115129,1.2936978,1.0,1.5080631,0.19576979841023734
ENSG00000204385,1.2934725,1.0,1.4719522,0.1958476989311433
ENSG00000250240,1.2933147,1.0,4.669025,0.19590224281149482
ENSG00000166483,1.2928864,1.0,3.77952,0.19605034660189435
ENSG00000272851,1.2928188,1.0,3.7524474,0.19607373890892088
ENSG00000011198,1.2925708,1.0,1.2236615,0.19615952819897642
ENSG00000263843,1.2925144,1.0,1.203681,0.19617902959985178
ENSG00000108187,1.2924807,1.0,3.2549994,0.1961907311221862
ENSG00000167912,1.2923117,1.0,1.0600916,0.196249246404558
ENSG00000286078,1.2919848,1.0,2.8813903,0.1963624122049531
ENSG00000163596,1.2918947,1.0,2.8561492,0.19639363876776683
ENSG00000135945,1.2914664,1.0,1.2757778,0.19654201461863285
ENSG00000262967,1.290993,1.0,2.3837354,0.19670610448638037
ENSG00000287957,1.2907901,1.0,2.3599648,0.19677645941969946
ENSG00000239388,1.2895504,1.0,1.8554741,0.19720680665923784
ENSG00000279504,1.2891221,1.0,1.7574943,0.1973556320630464
ENSG00000154274,1.287657,1.0,1.7123748,0.19786539324878516
ENSG00000183463,1.2875443,1.0,1.7306782,0.19790464551047116
ENSG00000137171,1.2874541,1.0,1.647241,0.19793605142115778
ENSG00000106290,1.2873188,1.0,1.717089,0.19798316712314512
ENSG00000162402,1.2864848,1.0,1.5963427,0.19827389525153216
ENSG00000176153,1.2864511,1.0,1.5585332,0.19828568810892366
ENSG00000273275,1.2852,1.0,1.6328737,0.1987223845143138
ENSG00000120055,1.2843885,1.0,1.2775424,0.19900602274149515
ENSG00000107821,1.2838476,1.0,3.8663707,0.19919527920298297
ENSG00000117461,1.2836673,1.0,3.7705503,0.19925839390836508
ENSG00000021826,1.2830136,1.0,2.5586812,0.19948730720913832
ENSG00000198435,1.2826079,1.0,2.8390818,0.19962948792640378
ENSG00000258908,1.282405,1.0,0.2440082,0.199700606037592
ENSG00000165819,1.282405,1.0,0.927078,0.199700606037592
ENSG00000113494,1.2823937,1.0,2.6950195,0.19970455758631356
ENSG00000142867,1.2822472,1.0,-0.037624646,0.19975593291701654
ENSG00000157077,1.2821684,1.0,2.5751755,0.19978360055472277
ENSG00000070019,1.2818753,1.0,2.4990082,0.19988639057095425
ENSG00000114125,1.2816725,1.0,2.2519445,0.1999575755118289
ENSG00000215193,1.281278,1.0,2.4825954,0.20009604366700928
ENSG00000100221,1.2798241,1.0,1.9023314,0.20060700230169592
ENSG00000116478,1.2794747,1.0,0.7757545,0.20072993260508964
ENSG00000135535,1.2785168,1.0,0.47168195,0.20106728156864784
ENSG00000167183,1.2781787,1.0,1.785626,0.20118644460795942
ENSG00000121060,1.2773784,1.0,1.5924257,0.20146866902349392
ENSG00000009790,1.2761838,1.0,1.2304084,0.20189055529586497
ENSG00000276710,1.2749327,1.0,4.735001,0.2023330318288732
ENSG00000289291,1.2734789,1.0,0.2307378,0.20284814871968615
ENSG00000114450,1.2733212,1.0,2.821817,0.20290411028853372
ENSG00000131187,1.2732084,1.0,2.6397686,0.20294408972198008
ENSG00000245385,1.2729831,1.0,2.5751755,0.20302406580093424
ENSG00000213523,1.2718898,1.0,1.0312175,0.20341227542569662
ENSG00000156735,1.2710896,1.0,0.92550755,0.20369677123529029
ENSG00000181322,1.2706163,1.0,2.1446571,0.2038652008091083
ENSG00000063245,1.270605,1.0,0.41121402,0.2038692122720268
ENSG00000125459,1.2686214,1.0,1.6964728,0.20457612479427345
ENSG00000163704,1.2661082,1.0,24.868378,0.20547437339754548
ENSG00000125170,1.2655784,1.0,4.629967,0.2056640555289947
ENSG00000253313,1.2651614,1.0,3.7433126,0.20581346924360833
ENSG00000237126,1.2651614,1.0,3.7433126,0.20581346924360833
ENSG00000064607,1.2647332,1.0,0.9076946,0.2059670032399039
ENSG00000109321,1.2645528,1.0,0.8962585,0.2060316740182494
ENSG00000146731,1.263268,1.0,0.11049689,0.20649288029132684
ENSG00000288918,1.2620509,1.0,2.005734,0.20693050361166465
ENSG00000163900,1.2618817,1.0,0.7897909,0.20699133782923074
ENSG00000117620,1.2608675,1.0,1.5645322,0.20735661572921826
ENSG00000151715,1.2574638,1.0,1.1724958,0.20858574336034086
ENSG00000148541,1.2568665,1.0,24.858582,0.20880199473737981
ENSG00000189099,1.2568665,1.0,24.838795,0.20880199473737981
ENSG00000279548,1.2563819,1.0,4.659356,0.20897756330442419
ENSG00000274387,1.2563819,1.0,4.659356,0.20897756330442419
