gene,pval,qval,log2fc,mean,zero_mean,grad,ll
ENSG00000143878,0.0,0.0,1.6943498030962518,0.2863444910227942,False,8.577010016449191e-11,-4819.233442296586
ENSG00000143970,0.0,0.0,2.636137619511923,0.0588431294149007,False,1.3688243566079135e-09,-1581.1910150375284
ENSG00000144713,0.0,0.0,-1.5382278680485748,0.1319287446413527,False,5.711147011313594e-10,-2939.981108427933
ENSG00000145016,0.0,0.0,-2.4631828508412705,0.0388249458471298,False,2.9481454168235793e-10,-1094.5720265455643
ENSG00000145216,1.2687497685459626e-05,1.60922438997855e-05,-1.3645554647318974,0.0135725304236362,False,3.3474319184474823e-10,-517.9809355422194
ENSG00000145632,1.4781509349859334e-12,2.3735692898331816e-12,4.448516375942712,0.078723662266366,False,1.020573397379174e-09,-1981.8796354973272
ENSG00000145675,0.0,0.0,2.6159349121944038,0.0973900443122464,False,2.9797071910715636e-11,-2081.1173998084278
ENSG00000145685,0.0002275466492331,0.0002733833843305,5.1416635565026585,0.017061547850007,False,3.0273673909218628e-12,-621.4885055052455
ENSG00000146830,5.7412630205533326e-11,8.796247013141345e-11,3.521167485618076,0.0671483906032871,False,6.709877854476373e-11,-1838.628442342355
ENSG00000147099,0.0003799442194691,0.0004500048556833,5.740536458810442,0.0069486825562706,False,0.0063097355560051,-247.5319977017266
ENSG00000147140,0.0,0.0,1.3461743673304647,0.2467330977356419,False,3.029945684386624e-09,-4474.454717073898
ENSG00000147687,0.0,0.0,-0.6699228593493193,0.9637110682220998,False,1.1183152120455509e-08,-9897.419750527006
ENSG00000147996,0.0446300945007875,0.0479821402250956,1.9512348893516969,0.0352825340109228,False,0.0229258173876528,-829.1663630956132
ENSG00000148143,2.900568674135684e-12,4.584179513381634e-12,3.637586159726384,0.0600291884398875,False,2.1881440992847363e-10,-1680.3138563538234
ENSG00000148180,0.0,0.0,4.673768509604717,0.3218712878883814,False,6.765467736307393e-10,-3593.472070856158
ENSG00000148331,0.0,0.0,3.262198505035508,0.1183421536515462,False,3.551691786108047e-12,-2749.6715363478315
ENSG00000149131,0.0,0.0,5.878675615226583,0.1734993997089913,False,3.366567717202169e-10,-1458.7813438249768
ENSG00000149218,3.7039502843949634e-05,4.593265080400685e-05,4.043051267834547,0.0201252832200453,False,2.143459912495378e-12,-718.7899475134552
ENSG00000149761,0.0,0.0,1.335001066732339,0.2467885000910994,False,1.242487656215602e-09,-4574.083895705999
ENSG00000150054,7.1118555748928e-06,9.18309186345694e-06,4.0430512678345485,0.0310542449686791,False,5.557633372312831e-10,-993.4486296576722
ENSG00000150593,0.0,0.0,-1.3908594073373,0.2399185693345037,False,1.5970635770307859e-09,-4427.5715282068695
ENSG00000150991,0.0,0.0,0.6861228315933047,0.7709887055944545,False,1.9881037773600603e-08,-8829.426107549636
ENSG00000151470,4.0281760926852435e-08,5.605878395653629e-08,2.4336133554004493,0.0936164702159094,False,1.061434697886339e-09,-2370.189271953407
ENSG00000152332,0.0,0.0,2.028148247292285,0.0450486472077835,False,3.9074556231231903e-10,-1322.0136971326365
ENSG00000152348,0.0,0.0,-2.5187997791034222,20.542748099767685,False,1.5907880301907752e-08,-30191.392291946784
ENSG00000152778,5.980771433655718e-13,9.888998311094109e-13,3.8889005880072895,0.0099960015993602,False,4.526499496490233e-12,-385.0734609629269
ENSG00000153187,0.0,0.0,-0.6501935415300578,1.169646368682877,False,2.6372492706983526e-09,-11119.60881856554
ENSG00000153234,0.0,0.0,-1.893604981105346,0.172299872839052,False,2.0018634295115504e-09,-2840.907728375942
ENSG00000153914,1.7529311335806597e-12,2.805809897520481e-12,2.097141118779236,0.0667288639887672,False,6.841102205312223e-10,-1828.2213724009007
ENSG00000155660,0.0,0.0,2.576714199041122,0.1341029816939801,False,3.07654542732589e-10,-2609.4519035556045
ENSG00000156976,0.0,0.0,1.477735676336256,0.1314603703571417,False,2.191127888903961e-09,-2981.272682075803
ENSG00000157601,0.0,0.0,4.076952819510229,0.1133496147141905,False,2.076961620711519e-09,-2651.126251407368
ENSG00000157734,0.0,0.0,1.3635484701471867,1.6854912197130705,False,3.0640920991961953e-09,-12965.585912383896
ENSG00000157933,3.9697017117923394e-08,5.539890132612709e-08,4.225372824628504,0.010795681727309,False,3.9822048027988894e-11,-425.4722606246707
ENSG00000158710,0.0,0.0,-0.9208118314875018,0.4663709763720022,False,1.723777849713099e-09,-6278.1904828910965
ENSG00000158941,8.152367669822524e-13,1.339126623797077e-12,3.532225644068557,0.0706627371310234,False,2.384614637153841e-10,-1903.376684604004
ENSG00000159023,0.0,0.0,-2.4505957404918632,0.0711140848417443,False,2.1923190676714315e-09,-1818.026896055016
ENSG00000159388,0.0,0.0,1.4159701292660067,0.1974930605514358,False,1.431565136313226e-09,-3606.9480936696127
ENSG00000160789,0.0,0.0,4.448516375942712,0.140917963427646,False,6.395985723142247e-10,-3028.455367975428
ENSG00000161016,0.0,0.0,-1.133417299280801,0.7262027690230044,False,2.457653918532362e-10,-8583.120755728316
ENSG00000161960,8.215650382226158e-15,1.4700145862483232e-14,1.7063140196962696,0.0724689330889291,False,8.189653930206694e-11,-1933.880755159029
ENSG00000162194,0.0,0.0,1.5283786877005692,0.9395214743664216,False,2.9640773003994867e-10,-9267.229702251245
ENSG00000162783,0.019091837973763,0.0209759009317001,3.349904087274603,0.0259896041583366,False,7.144177673836181e-10,-887.229441577475
ENSG00000162924,0.0,0.0,-2.59670429011708,0.1379619257665617,False,3.9823174362210986e-11,-2770.5701698749835
ENSG00000163378,0.0,0.0,4.0430512678345485,0.0265468879729831,False,8.726167481636716e-10,-855.1529420131272
ENSG00000163565,0.0,0.0,-4.499297843462806,0.0363213937949549,False,8.847367618564989e-12,-905.2334731915544
ENSG00000163586,0.0,0.0,4.043051267834548,0.1610836283809365,False,9.996663573265231e-10,-3336.722619286302
ENSG00000163636,6.07957417742e-09,8.803082840715085e-09,2.5389738710582748,0.1245863055761922,False,9.4732998318124e-10,-2904.433906354969
ENSG00000163660,2.0632813757526241e-07,2.816632068806715e-07,1.8274775518301327,0.1843833008377167,False,7.00596170584901e-10,-3797.990795019905
ENSG00000163848,4.176561116953082e-07,5.609804610170225e-07,2.78978474596253,0.0382764916139635,False,9.201409497852897e-12,-1190.9073634207632
